"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence1]]]]: Consumers would still have to get a descrambling security card from their cable operator to plug into the set .<SPLIT>[[[[Sentence2]]]]: To watch pay television , consumers would insert into the set a security card provided by their cable service .","[[[[Sentence1]]]]: Consumers would still have to get a descrambling security card from their cable operator to plug into the set .<SPLIT>[[[[Sentence2]]]]: To watch pay television , consumers would insert into the set a security card provided by their cable service .",0.9587104320526123,0.9587104320526123,0,0,1,1,"Skipped"
"[[[[Sentence1]]]]: The increase reflects lower credit [[losses]] and favorable interest rates .<SPLIT>[[[[Sentence2]]]]: The gain [[came]] as a result of fewer credit [[losses]] and lower [[interest]] [[rates]] .","[[[[Sentence1]]]]: The increase reflects lower credit [[compensations]] and favorable interest rates .<SPLIT>[[[[Sentence2]]]]: The gain [[arrival]] as a result of fewer credit [[lost]] and lower [[pertinent]] [[fare]] .",0.004541516304016113,0.78019779920578,1,0,1,166,"Successful"
"[[[[Sentence1]]]]: The device plays [[Internet]] radio streams and comes with a 30-day [[trial]] of RealNetworks ' Rhapsody music service .<SPLIT>[[[[Sentence2]]]]: The product also [[streams]] Internet radio and comes with a 30-day free trial for RealNetworks ' Rhapsody digital music subscription service .","[[[[Sentence1]]]]: The device plays [[Cyberspace]] radio streams and comes with a 30-day [[justices]] of RealNetworks ' Rhapsody music service .<SPLIT>[[[[Sentence2]]]]: The product also [[waterway]] Internet radio and comes with a 30-day free trial for RealNetworks ' Rhapsody digital music subscription service .",0.0034572482109069824,0.7776044607162476,1,0,1,102,"Successful"
"[[[[Sentence1]]]]: Hong Kong was [[flat]] , [[Australia]] , Singapore and South [[Korea]] [[lost]] 0.2-0.4 [[percent]] .<SPLIT>[[[[Sentence2]]]]: [[Australia]] was [[flat]] , Singapore was down 0.3 percent by [[midday]] and [[South]] Korea [[added]] 0.2 [[percent]] .","[[[[Sentence1]]]]: Hong Kong was [[appartment]] , [[Canberra]] , Singapore and South [[Korean]] [[forfeiting]] 0.2-0.4 [[centigrade]] .<SPLIT>[[[[Sentence2]]]]: [[Australian]] was [[unchanged]] , Singapore was down 0.3 percent by [[mondays]] and [[Eastwards]] Korea [[summing]] 0.2 [[centigrade]] .",0.009361743927001953,0.13972371816635132,0,0,0,280,"Failed"
"[[[[Sentence1]]]]: Evidence suggests two of the victims were taken by surprise , while the other two might have tried to [[flee]] or to [[defend]] themselves or the others , police said .<SPLIT>[[[[Sentence2]]]]: Evidence suggests two victims were taken by surprise , while the others may have tried to [[flee]] or perhaps [[defend]] themselves or their friends , police said .","[[[[Sentence1]]]]: Evidence suggests two of the victims were taken by surprise , while the other two might have tried to [[fled]] or to [[upholds]] themselves or the others , police said .<SPLIT>[[[[Sentence2]]]]: Evidence suggests two victims were taken by surprise , while the others may have tried to [[eluded]] or perhaps [[championed]] themselves or their friends , police said .",0.0028629302978515625,0.5573959946632385,1,0,1,138,"Successful"
"[[[[Sentence1]]]]: Ballmer has been vocal in the past warning that Linux is a threat to Microsoft .<SPLIT>[[[[Sentence2]]]]: In the memo , Ballmer reiterated the open-source threat to Microsoft .","[[[[Sentence1]]]]: Ballmer has been vocal in the past warning that Linux is a threat to Microsoft .<SPLIT>[[[[Sentence2]]]]: In the memo , Ballmer reiterated the open-source threat to Microsoft .",0.9635156393051147,0.9635156393051147,1,1,0,1,"Skipped"
"[[[[Sentence1]]]]: A charter plane crashed in [[Turkey]] on Monday , [[killing]] all 75 people aboard , including 62 Spanish peacekeepers returning from Afghanistan , officials said .<SPLIT>[[[[Sentence2]]]]: A plane carrying 75 people , including 62 Spanish peacekeepers returning from Afghanistan , [[crashed]] in thick fog in Turkey early on Monday , [[killing]] all aboard , officials said .","[[[[Sentence1]]]]: A charter plane crashed in [[Turkeys]] on Monday , [[offed]] all 75 people aboard , including 62 Spanish peacekeepers returning from Afghanistan , officials said .<SPLIT>[[[[Sentence2]]]]: A plane carrying 75 people , including 62 Spanish peacekeepers returning from Afghanistan , [[colliding]] in thick fog in Turkey early on Monday , [[manslaughter]] all aboard , officials said .",0.003981292247772217,0.5417490005493164,1,0,1,195,"Successful"
"[[[[Sentence1]]]]: Moroccan Interior Minister Al Mustapha Sahel said the investigation "" points to a [[group]] that has been arrested recently "" , an [[apparent]] reference to Djihad Salafist .<SPLIT>[[[[Sentence2]]]]: Moroccan Interior Minister Al Mustapha Sahel [[told]] state-run 2M television late Saturday the investigation "" points to a group that has been [[arrested]] recently "" an [[apparent]] reference to Salafist Jihad .","[[[[Sentence1]]]]: Moroccan Interior Minister Al Mustapha Sahel said the investigation "" points to a [[groups]] that has been arrested recently "" , an [[evident]] reference to Djihad Salafist .<SPLIT>[[[[Sentence2]]]]: Moroccan Interior Minister Al Mustapha Sahel [[avowed]] state-run 2M television late Saturday the investigation "" points to a group that has been [[halts]] recently "" an [[unambiguous]] reference to Salafist Jihad .",0.005721330642700195,0.592217206954956,1,0,1,229,"Successful"
"[[[[Sentence1]]]]: "" I 'm [[delighted]] that David [[Chase]] has decided to give [[us]] another chapter in the [[great]] ' Sopranos ' [[saga]] , "" HBO chairman and chief executive [[Chris]] [[Albrecht]] [[said]] .<SPLIT>[[[[Sentence2]]]]: "" I 'm [[delighted]] that David Chase has decided to give [[us]] another chapter in the great Sopranos [[saga]] , "" [[said]] [[HBO]] Chairman Chris Albrecht in a [[statement]] .","[[[[Sentence1]]]]: "" I 'm [[enthused]] that David [[Pursuing]] has decided to give [[our]] another chapter in the [[awesome]] ' Sopranos ' [[odyssey]] , "" HBO chairman and chief executive [[Trevor]] [[Dietrich]] [[explained]] .<SPLIT>[[[[Sentence2]]]]: "" I 'm [[flattered]] that David Chase has decided to give [[ourselves]] another chapter in the great Sopranos [[fairytales]] , "" [[told]] [[CINEMAX]] Chairman Chris Albrecht in a [[explanatory]] .",0.0029664039611816406,0.7013868093490601,1,0,1,609,"Successful"
"[[[[Sentence1]]]]: The two had argued that only a new board would have had the credibility to [[restore]] El Paso to [[health]] .<SPLIT>[[[[Sentence2]]]]: [[He]] and Zilkha believed that only a new board would have had the credibility to restore El Paso to [[health]] .","[[[[Sentence1]]]]: The two had argued that only a new board would have had the credibility to [[restored]] El Paso to [[hygienic]] .<SPLIT>[[[[Sentence2]]]]: [[It]] and Zilkha believed that only a new board would have had the credibility to restore El Paso to [[sante]] .",0.0027927756309509277,0.5413130521774292,1,0,1,104,"Successful"
"[[[[Sentence1]]]]: "" There 's no reason for you to keep your skills up , "" the judge told the convicted crack cocaine kingpin .<SPLIT>[[[[Sentence2]]]]: "" There 's no reason for you to keep your skills up , "" U.S. District Judge J. Frederick Motz told McGriff after he was [[sentenced]] .","[[[[Sentence1]]]]: "" There 's no reason for you to keep your skills up , "" the judge told the convicted crack cocaine kingpin .<SPLIT>[[[[Sentence2]]]]: "" There 's no reason for you to keep your skills up , "" U.S. District Judge J. Frederick Motz told McGriff after he was [[condemned]] .",0.010334372520446777,0.6864491701126099,1,0,1,65,"Successful"
"[[[[Sentence1]]]]: Still , he said , "" I 'm absolutely confident we 're going to have a bill . ""<SPLIT>[[[[Sentence2]]]]: "" I 'm absolutely confident we 're going to have a bill , "" Frist , R-Tenn . , [[said]] Thursday .","[[[[Sentence1]]]]: Still , he said , "" I 'm absolutely confident we 're going to have a bill . ""<SPLIT>[[[[Sentence2]]]]: "" I 'm absolutely confident we 're going to have a bill , "" Frist , R-Tenn . , [[avowed]] Thursday .",0.025779902935028076,0.7072772979736328,1,0,1,72,"Successful"
"[[[[Sentence1]]]]: "" Senator Clinton should be ashamed of herself for playing politics with the important issue of homeland security [[funding]] , "" he [[said]] .<SPLIT>[[[[Sentence2]]]]: "" She should be [[ashamed]] of herself for playing politics with this important issue , "" said state budget division [[spokesman]] Andrew Rush .","[[[[Sentence1]]]]: "" Senator Clinton should be ashamed of herself for playing politics with the important issue of homeland security [[subsidized]] , "" he [[avowed]] .<SPLIT>[[[[Sentence2]]]]: "" She should be [[embarassed]] of herself for playing politics with this important issue , "" said state budget division [[speakerphone]] Andrew Rush .",0.0036923885345458984,0.6729624271392822,1,0,1,148,"Successful"
"[[[[Sentence1]]]]: Federal agents said yesterday they are investigating the theft of 1,200 pounds of an explosive chemical from construction companies in Colorado and California in the past week .<SPLIT>[[[[Sentence2]]]]: Federal investigators are looking for possible connections between the theft of 1,100 pounds of an explosive chemical from construction companies in Colorado and [[California]] in the past week .","[[[[Sentence1]]]]: Federal agents said yesterday they are investigating the theft of 1,200 pounds of an explosive chemical from construction companies in Colorado and California in the past week .<SPLIT>[[[[Sentence2]]]]: Federal investigators are looking for possible connections between the theft of 1,100 pounds of an explosive chemical from construction companies in Colorado and [[Bernardino]] in the past week .",0.10256898403167725,0.5818371176719666,1,0,1,41,"Successful"
"[[[[Sentence1]]]]: [[Last]] [[year]] , Comcast [[signed]] 1.5 million [[new]] [[digital]] [[cable]] subscribers .<SPLIT>[[[[Sentence2]]]]: Comcast [[has]] about 21.3 [[million]] cable [[subscribers]] , [[many]] in the [[largest]] U.[[S]]. [[cities]] .","[[[[Sentence1]]]]: [[Previous]] [[years]] , Comcast [[ratified]] 1.5 million [[ny]] [[numerical]] [[cables]] subscribers .<SPLIT>[[[[Sentence2]]]]: Comcast [[holds]] about 21.3 [[billion]] cable [[consumers]] , [[innumerable]] in the [[widest]] U.[[r]]. [[mayors]] .",0.006146550178527832,0.05917567014694214,0,0,0,303,"Failed"
"[[[[Sentence1]]]]: [[Schofield]] got Toepfer to [[admit]] on cross-examination that she ignored many of O 'Donnell 's suggestions and projects .<SPLIT>[[[[Sentence2]]]]: But under cross-examination by O 'Donnell 's attorney , Lorna [[Schofield]] , Toepfer conceded she had [[ignored]] many of O 'Donnell 's suggestions and projects .","[[[[Sentence1]]]]: [[Britton]] got Toepfer to [[realise]] on cross-examination that she ignored many of O 'Donnell 's suggestions and projects .<SPLIT>[[[[Sentence2]]]]: But under cross-examination by O 'Donnell 's attorney , Lorna [[Atkinson]] , Toepfer conceded she had [[understated]] many of O 'Donnell 's suggestions and projects .",0.0044168829917907715,0.8692995309829712,1,0,1,111,"Successful"
"[[[[Sentence1]]]]: The man accused of using [[fake]] grenades to [[commandeer]] a Cuban plane that landed in Key West in [[April]] was sentenced Friday to 20 years in prison .<SPLIT>[[[[Sentence2]]]]: A [[Cuban]] architect was [[sentenced]] to 20 years in prison Friday for using two fake grenades to hijack a passenger [[plane]] from Cuba to [[Florida]] in [[April]] .","[[[[Sentence1]]]]: The man accused of using [[doctored]] grenades to [[requisitioning]] a Cuban plane that landed in Key West in [[August]] was sentenced Friday to 20 years in prison .<SPLIT>[[[[Sentence2]]]]: A [[Venezuela]] architect was [[accused]] to 20 years in prison Friday for using two fake grenades to hijack a passenger [[airways]] from Cuba to [[Fla]] in [[Avril]] .",0.004668533802032471,0.5024528503417969,1,0,1,229,"Successful"
"[[[[Sentence1]]]]: Moroccan police [[have]] [[arrested]] 33 [[suspects]] , including some linked to the radical Djihad Salafist group , a government [[official]] said .<SPLIT>[[[[Sentence2]]]]: In a [[series]] of raids , Moroccan police arrested 33 suspects Saturday , including some linked to the [[radical]] Djihad Salafist group , a senior government official said .","[[[[Sentence1]]]]: Moroccan police [[owns]] [[incarcerate]] 33 [[culpability]] , including some linked to the radical Djihad Salafist group , a government [[diary]] said .<SPLIT>[[[[Sentence2]]]]: In a [[assortment]] of raids , Moroccan police arrested 33 suspects Saturday , including some linked to the [[drastic]] Djihad Salafist group , a senior government official said .",0.0037009119987487793,0.5532296895980835,1,0,1,187,"Successful"
"[[[[Sentence1]]]]: The son of circus trapeze artists turned vaudevillians , O 'Connor was [[born]] on Aug. 28 , 1925 , in Chicago and was carried onstage for applause when he was three days old .<SPLIT>[[[[Sentence2]]]]: The son of circus trapeze artists turned vaudevillians , O 'Connor was carried onstage for applause when he was 3 days old .","[[[[Sentence1]]]]: The son of circus trapeze artists turned vaudevillians , O 'Connor was [[birth]] on Aug. 28 , 1925 , in Chicago and was carried onstage for applause when he was three days old .<SPLIT>[[[[Sentence2]]]]: The son of circus trapeze artists turned vaudevillians , O 'Connor was carried onstage for applause when he was 3 days old .",0.08734703063964844,0.7107048034667969,1,0,1,42,"Successful"
"[[[[Sentence1]]]]: Ricky Clemons ' brief , troubled [[Missouri]] basketball career is over .<SPLIT>[[[[Sentence2]]]]: Missouri kicked Ricky Clemons off its team , ending his troubled career there .","[[[[Sentence1]]]]: Ricky Clemons ' brief , troubled [[Kansas]] basketball career is over .<SPLIT>[[[[Sentence2]]]]: Missouri kicked Ricky Clemons off its team , ending his troubled career there .",0.12176871299743652,0.9650524854660034,1,0,1,20,"Successful"
"[[[[Sentence1]]]]: Dynes will get $ 395,000 a year , up from Atkinson 's current salary of $ 361,400 .<SPLIT>[[[[Sentence2]]]]: In his new [[position]] , Dynes will earn $ 395,000 , a significant [[increase]] over Atkinson 's salary of $ 361,400 .","[[[[Sentence1]]]]: Dynes will get $ 395,000 a year , up from Atkinson 's current salary of $ 361,400 .<SPLIT>[[[[Sentence2]]]]: In his new [[stand]] , Dynes will earn $ 395,000 , a significant [[amplify]] over Atkinson 's salary of $ 361,400 .",0.005219399929046631,0.5012953281402588,1,0,1,107,"Successful"
"[[[[Sentence1]]]]: The daily Hurriyet said the [[raid]] [[aimed]] to foil a Turkish plot to kill an unnamed senior Iraqi official in Kirkuk .<SPLIT>[[[[Sentence2]]]]: The daily Hurriyet said the raid [[aimed]] to foil a Turkish plot to kill an unnamed senior Iraqi Kurdish official in Kirkuk , but Gul has [[denied]] any Turkish plot .","[[[[Sentence1]]]]: The daily Hurriyet said the [[strike]] [[destinies]] to foil a Turkish plot to kill an unnamed senior Iraqi official in Kirkuk .<SPLIT>[[[[Sentence2]]]]: The daily Hurriyet said the raid [[aiming]] to foil a Turkish plot to kill an unnamed senior Iraqi Kurdish official in Kirkuk , but Gul has [[spurns]] any Turkish plot .",0.022606372833251953,0.6314480900764465,0,1,0,240,"Successful"
"[[[[Sentence1]]]]: "" It was a little bit embarrassing the way we [[played]] in the first two games , "" Thomas said .<SPLIT>[[[[Sentence2]]]]: "" We 're in the Stanley Cup finals , and it was a little bit embarrassing the way we played in the first two games .","[[[[Sentence1]]]]: "" It was a little bit embarrassing the way we [[do]] in the first two games , "" Thomas said .<SPLIT>[[[[Sentence2]]]]: "" We 're in the Stanley Cup finals , and it was a little bit embarrassing the way we played in the first two games .",0.07195049524307251,0.5645476579666138,0,1,0,63,"Successful"
"[[[[Sentence1]]]]: Against the Japanese [[currency]] , the [[euro]] was at 135.92 / 6.04 [[yen]] against the [[late]] [[New]] [[York]] [[level]] of 136.03 / 14 .<SPLIT>[[[[Sentence2]]]]: The dollar was at 117.85 yen against the Japanese [[currency]] , up 0.1 [[percent]] .","[[[[Sentence1]]]]: Against the Japanese [[shares]] , the [[euros]] was at 135.92 / 6.04 [[jap]] against the [[decedent]] [[Latest]] [[Yorke]] [[niveau]] of 136.03 / 14 .<SPLIT>[[[[Sentence2]]]]: The dollar was at 117.85 yen against the Japanese [[exchanged]] , up 0.1 [[cent]] .",0.011709034442901611,0.03082352876663208,0,0,0,195,"Failed"
"[[[[Sentence1]]]]: Snow 's remark ``has a [[psychological]] [[impact]] , ' ' said Hans Redeker , head of foreign-exchange strategy at BNP Paribas .<SPLIT>[[[[Sentence2]]]]: Snow 's remark on the dollar 's effects on exports ``has a psychological impact , ' ' said Hans Redeker , head of foreign- exchange strategy at BNP Paribas .","[[[[Sentence1]]]]: Snow 's remark ``has a [[meld]] [[afflict]] , ' ' said Hans Redeker , head of foreign-exchange strategy at BNP Paribas .<SPLIT>[[[[Sentence2]]]]: Snow 's remark on the dollar 's effects on exports ``has a psychological impact , ' ' said Hans Redeker , head of foreign- exchange strategy at BNP Paribas .",0.008242428302764893,0.964790940284729,1,0,1,98,"Successful"
"[[[[Sentence1]]]]: The [[women]] [[said]] victims of rape who [[came]] [[forward]] [[routinely]] were [[punished]] for minor [[infractions]] while their assailants escaped judgment .<SPLIT>[[[[Sentence2]]]]: The women [[said]] victims of rape who [[came]] forward were [[routinely]] [[punished]] for minor infractions while their [[attackers]] escaped judgment , prompting most [[victims]] to remain silent .","[[[[Sentence1]]]]: The [[fille]] [[testified]] victims of rape who [[landed]] [[impatiently]] [[constantly]] were [[disciplining]] for minor [[disregard]] while their assailants escaped judgment .<SPLIT>[[[[Sentence2]]]]: The women [[telling]] victims of rape who [[arrive]] forward were [[invariably]] [[disciplined]] for minor infractions while their [[culprits]] escaped judgment , prompting most [[casualties]] to remain silent .",0.035354435443878174,0.5288748741149902,0,1,0,503,"Successful"
"[[[[Sentence1]]]]: "" [[The]] National has no interest in acquiring AMP while AMP owns its UK business , "" Cicutto [[added]] .<SPLIT>[[[[Sentence2]]]]: "" The National has no interest in acquiring AMP while AMP [[owns]] its U.K. business , "" NAB chief [[executive]] Frank Cicutto [[said]] .","[[[[Sentence1]]]]: "" [[Both]] National has no interest in acquiring AMP while AMP owns its UK business , "" Cicutto [[adds]] .<SPLIT>[[[[Sentence2]]]]: "" The National has no interest in acquiring AMP while AMP [[chocks]] its U.K. business , "" NAB chief [[administration]] Frank Cicutto [[avowed]] .",0.004516005516052246,0.578520655632019,1,0,1,196,"Successful"
"[[[[Sentence1]]]]: In a [[statement]] , Mr. [[Rowland]] said : "" As is the [[case]] with all [[appointees]] , Commissioner Anson is accountable to me .<SPLIT>[[[[Sentence2]]]]: "" As is the case with all [[appointees]] , Commissioner Anson is [[accountable]] to me , "" Rowland said .","[[[[Sentence1]]]]: In a [[representations]] , Mr. [[Rolland]] said : "" As is the [[dossiers]] with all [[nominating]] , Commissioner Anson is accountable to me .<SPLIT>[[[[Sentence2]]]]: "" As is the case with all [[candidates]] , Commissioner Anson is [[culpable]] to me , "" Rowland said .",0.002986907958984375,0.5292485952377319,1,0,1,142,"Successful"
"[[[[Sentence1]]]]: Oracle 's $ 5 [[billion]] [[hostile]] [[bid]] for PeopleSoft is [[clearly]] not sitting [[well]] with PeopleSoft 's [[executives]] .<SPLIT>[[[[Sentence2]]]]: Oracle on [[Friday]] [[launched]] a $ 5.1 [[billion]] [[hostile]] [[takeover]] bid for PeopleSoft .","[[[[Sentence1]]]]: Oracle 's $ 5 [[million]] [[antagonistic]] [[introductions]] for PeopleSoft is [[apparently]] not sitting [[right]] with PeopleSoft 's [[manager]] .<SPLIT>[[[[Sentence2]]]]: Oracle on [[Tonight]] [[cranking]] a $ 5.1 [[trillion]] [[belligerent]] [[acquisitions]] bid for PeopleSoft .",0.009459853172302246,0.10342955589294434,0,0,0,323,"Failed"
"[[[[Sentence1]]]]: Taha is married to former Iraqi oil minister Amir Muhammed Rasheed , who surrendered to U.S. forces on April 28 .<SPLIT>[[[[Sentence2]]]]: Taha 's [[husband]] , former oil minister Amer Mohammed Rashid , surrendered to U.S. forces on April 28 .","[[[[Sentence1]]]]: Taha is married to former Iraqi oil minister Amir Muhammed Rasheed , who surrendered to U.S. forces on April 28 .<SPLIT>[[[[Sentence2]]]]: Taha 's [[mari]] , former oil minister Amer Mohammed Rashid , surrendered to U.S. forces on April 28 .",0.014268457889556885,0.8557193875312805,1,0,1,61,"Successful"
"[[[[Sentence1]]]]: Cisco pared spending during the quarter to compensate for sluggish sales .<SPLIT>[[[[Sentence2]]]]: In response to [[sluggish]] sales , Cisco pared spending .","[[[[Sentence1]]]]: Cisco pared spending during the quarter to compensate for sluggish sales .<SPLIT>[[[[Sentence2]]]]: In response to [[plodding]] sales , Cisco pared spending .",0.005087792873382568,0.8055999279022217,1,0,1,45,"Successful"
"[[[[Sentence1]]]]: Seven 20- and 21-year-old cadets were ticketed by police for drinking alcohol in an off-campus hotel room early Saturday with two young women , aged 16 and 18 .<SPLIT>[[[[Sentence2]]]]: Seven 20- and 21-year-old male cadets were caught in an off-campus hotel room early Saturday with two female teens , 16 and 18 years .","[[[[Sentence1]]]]: Seven 20- and 21-year-old cadets were ticketed by police for drinking alcohol in an off-campus hotel room early Saturday with two young women , aged 16 and 18 .<SPLIT>[[[[Sentence2]]]]: Seven 20- and 21-year-old male cadets were caught in an off-campus hotel room early Saturday with two female teens , 16 and 18 years .",0.9181281924247742,0.9181281924247742,0,0,1,1,"Skipped"
"[[[[Sentence1]]]]: [[Dixon]] 's [[win]] [[moved]] him into second [[place]] in the points [[standings]] , 49 behind Kanaan .<SPLIT>[[[[Sentence2]]]]: "" It 's always [[fun]] to [[come]] to [[Colorado]] , "" [[said]] Dixon , who [[moved]] into second in the IRL [[standings]] behind Kanaan .","[[[[Sentence1]]]]: [[Greer]] 's [[getting]] [[transferred]] him into second [[places]] in the points [[playoffs]] , 49 behind Kanaan .<SPLIT>[[[[Sentence2]]]]: "" It 's always [[charmer]] to [[happen]] to [[Greeley]] , "" [[explains]] Dixon , who [[transfers]] into second in the IRL [[clinched]] behind Kanaan .",0.006475567817687988,0.5153672695159912,0,1,0,352,"Successful"
